city,country,country_code,year,lat,lon,mean_brightness,median_brightness,max_brightness,pixel_count,population,gdp_per_capita_eur,population_density,road_length_total_km,motorway_length_km,road_density_km_per_km2,street_lamp_count,building_count,building_area_km2,landuse_residential_km2,landuse_commercial_km2,landuse_industrial_km2,landuse_retail_km2,park_area_km2,forest_area_km2,water_area_km2,nature_reserve_area_km2,green_area_total_km2,built_up_fraction,green_fraction,log_mean_brightness,log_population,log_gdp_per_capita,log_building_count,brightness_yoy,brightness_cagr,brightness_per_capita
Helsinki,Finland,FI,2022,60.1699,24.9384,17.088393152980156,2.917116422837162,273.0723571777344,16060,658457.0,60400.0,194.7,9485.71,675.46,4.8388,57576,202184.0,23.3071,190.1847,9.225,36.3252,5.4758,81.8776,645.3965,37.7274,174.7007,901.9748,0.0379,0.4601,2.8952704703089016,13.39765449810927,11.008744383922906,12.21693839884048,0.03904945856379438,-0.016739280305801407,2.5952177823274953e-05
Helsinki,Finland,FI,2023,60.1699,24.9384,13.125894951192844,2.4652720785036006,220.53611755371097,16060,664028.0,62200.0,194.7,9485.71,675.46,4.8388,57576,202184.0,23.3071,190.1847,9.225,36.3252,5.4758,81.8776,645.3965,37.7274,174.7007,901.9748,0.0379,0.4601,2.648009634401869,13.406079596244195,11.03811027872727,12.21693839884048,-0.2318824342531156,-0.016739280305801407,1.9767080531533074e-05
Helsinki,Finland,FI,2024,60.1699,24.9384,12.20473579984675,2.45345038961145,192.62893676757807,16060,674500.0,61300.0,194.7,9485.71,675.46,4.8388,57576,202184.0,23.3071,190.1847,9.225,36.3252,5.4758,81.8776,645.3965,37.7274,174.7007,901.9748,0.0379,0.4601,2.580575537964447,13.421726954629948,11.023535121924303,12.21693839884048,-0.07017876912555832,-0.016739280305801407,1.809449340229318e-05
Lisbon,Portugal,PT,2013,38.7223,-9.1393,20.462932114472785,6.482619048998668,197.46739196777344,10245,1853637.0,26600.0,1620.0,19435.93,1111.59,9.9146,4401,379187.0,35.2206,292.8183,6.9777,57.4615,7.4578,33.1088,439.5126,172.3201,514.8669,987.4883,0.0546,0.5037,3.066327359484997,14.43266021305775,10.188666494769791,12.845787403292652,,-0.013799599889631087,1.1039341637263815e-05
Lisbon,Portugal,PT,2014,38.7223,-9.1393,20.18296471309012,6.478038741809166,170.12449645996094,10245,1850788.0,26700.0,1620.0,19435.93,1111.59,9.9146,4401,379187.0,35.2206,292.8183,6.9777,57.4615,7.4578,33.1088,439.5126,172.3201,514.8669,987.4883,0.0546,0.5037,3.0531973073882575,14.431122052311231,10.19241884438834,12.845787403292652,-0.013681685489473683,-0.013799599889631087,1.090506568720465e-05
Lisbon,Portugal,PT,2015,38.7223,-9.1393,19.790415796050883,6.517533464067279,181.17811584472656,10245,1854485.0,27200.0,1620.0,19435.93,1111.59,9.9146,4401,379187.0,35.2206,292.8183,6.9777,57.4615,7.4578,33.1088,439.5126,172.3201,514.8669,987.4883,0.0546,0.5037,3.0344921014799753,14.433117587445532,10.210972252284089,12.845787403292652,-0.019449517086290058,-0.013799599889631087,1.0671650510007297e-05
Lisbon,Portugal,PT,2016,38.7223,-9.1393,20.141678683305475,6.468805416864116,181.39031982421875,10245,1860247.0,28000.0,1620.0,19435.93,1111.59,9.9146,4401,379187.0,35.2206,292.8183,6.9777,57.4615,7.4578,33.1088,439.5126,172.3201,514.8669,987.4883,0.0546,0.5037,3.0512463852036165,14.43621983257174,10.239959789157341,12.845787403292652,0.01774914134571559,-0.013799599889631087,1.0827421672124979e-05
Lisbon,Portugal,PT,2017,38.7223,-9.1393,19.804016613324304,6.4847579668528255,172.74258422851562,10245,1865335.0,29200.0,1620.0,19435.93,1111.59,9.9146,4401,379187.0,35.2206,292.8183,6.9777,57.4615,7.4578,33.1088,439.5126,172.3201,514.8669,987.4883,0.0546,0.5037,3.0351460744744516,14.438951219594355,10.281923988256374,12.845787403292652,-0.016764345975841866,-0.013799599889631087,1.0616868612514268e-05
Lisbon,Portugal,PT,2018,38.7223,-9.1393,19.161001926468145,6.480722125974781,174.08358764648438,10245,1873434.0,30500.0,1620.0,19435.93,1111.59,9.9146,4401,379187.0,35.2206,292.8183,6.9777,57.4615,7.4578,33.1088,439.5126,172.3201,514.8669,987.4883,0.0546,0.5037,3.0037501407017655,14.443283668412805,10.325481962595504,12.845787403292652,-0.03246890261764035,-0.013799599889631087,1.0227743238602559e-05
Lisbon,Portugal,PT,2019,38.7223,-9.1393,18.955128774322304,6.4529048728027565,174.40530395507812,10245,1879692.0,32000.0,1620.0,19435.93,1111.59,9.9146,4401,379187.0,35.2206,292.8183,6.9777,57.4615,7.4578,33.1088,439.5126,172.3201,514.8669,987.4883,0.0546,0.5037,2.993486191715771,14.446618491597333,10.373491181781864,12.845787403292652,-0.010744383458437867,-0.013799599889631087,1.008416739248893e-05
