city,country,country_code,year,lat,lon,mean_brightness,median_brightness,max_brightness,pixel_count
Stockholm,Sweden,SE,2015,59.3293,18.0686,12.093963043181915,1.3731691689468877,823.060302734375,15670
Oslo,Norway,NO,2015,59.9139,10.7522,7.570921349255013,0.2226694558900699,362.6361083984375,15931
Helsinki,Finland,FI,2015,60.1699,24.9384,9.070681609789649,1.4867146778801383,186.6190643310547,16060
Lisbon,Portugal,PT,2015,38.7223,-9.1393,19.790415796050883,6.517533464067279,181.17811584472656,10245
Porto,Portugal,PT,2015,41.1579,-8.6291,12.266963478409082,4.506009661161406,134.3808135986328,10621
Athens,Greece,GR,2015,37.9838,23.7275,17.694209154728547,4.917769485639736,295.0792541503906,10152
Dublin,Ireland,IE,2015,53.3498,-6.2603,7.640322050885284,1.4249507780742343,148.45907592773438,13398
Bucharest,Romania,RO,2015,44.4268,26.1025,7.362938391689798,1.4328970469238986,195.9148101806641,11205
Sofia,Bulgaria,BG,2015,42.6977,23.3219,4.229626924017211,0.7306903198907487,127.30631256103516,10885
Zagreb,Croatia,HR,2015,45.815,15.9819,8.212837659106286,2.4576962887676492,140.27713012695312,11476
Tallinn,Estonia,EE,2015,59.437,24.7536,3.675135501147941,0.1230653111070712,165.1075897216797,15717
Riga,Latvia,LV,2015,56.9496,24.1052,3.5717081661325643,0.3446594258701085,453.5747375488281,14647
Madrid,Spain,ES,2016,40.4168,-3.7038,25.411966390016858,10.532346895160414,191.79042053222656,10514
Barcelona,Spain,ES,2016,41.3851,2.1734,18.529180641276824,2.906409246953176,284.7420959472656,10661
Paris,France,FR,2016,48.8566,2.3522,32.676582278677145,29.056098000841615,288.72247314453125,12147
Lyon,France,FR,2016,45.764,4.8357,10.253023541639582,3.4710398529990725,188.4351501464844,11475
Berlin,Germany,DE,2016,52.52,13.405,8.065124848863611,3.48006546672061,159.02037048339844,13148
Hamburg,Germany,DE,2016,53.5511,9.9937,6.181838714302784,1.4084414362142263,178.6501922607422,13453
Munich,Germany,DE,2016,48.1351,11.582,4.09823146723687,1.4236032758892867,184.58213806152344,11985
Rome,Italy,IT,2016,41.9028,12.4964,17.9480333980831,8.452691695278261,189.18826293945312,10755
Milan,Italy,IT,2016,45.4642,9.19,19.637133270954585,14.500921030169833,152.02658081054688,11411
Naples,Italy,IT,2016,40.8518,14.2681,14.440720411967373,5.5162538272876604,182.3865203857422,10571
Amsterdam,Netherlands,NL,2016,52.3676,4.9041,12.114736233814297,4.188029354718055,2255.6337890625,13101
Rotterdam,Netherlands,NL,2016,51.9244,4.4777,66.8353721458528,14.438091875949503,13806.73828125,12962
Brussels,Belgium,BE,2016,50.8503,4.3517,11.951317100687332,5.488288067688521,240.35499572753903,12665
Vienna,Austria,AT,2016,48.2082,16.3738,6.126949064677833,1.410179230013308,172.071533203125,12011
Prague,Czech Republic,CZ,2016,50.0755,14.4378,7.162194106829891,2.2419127827464607,125.37398529052734,12460
Warsaw,Poland,PL,2016,52.2297,21.0122,12.172510664158311,5.479240085093313,206.5521240234375,13043
Budapest,Hungary,HU,2016,47.4979,19.0402,8.093854704853126,2.464348379540638,133.8020477294922,11847
Copenhagen,Denmark,DK,2016,55.6761,12.5683,4.167754922217357,0.0826378770074406,128.33677673339844,14179
Stockholm,Sweden,SE,2016,59.3293,18.0686,14.41211041630022,5.6889572912800705,785.3367919921875,15670
Oslo,Norway,NO,2016,59.9139,10.7522,9.021034157336617,0.1872429897436229,506.6890563964844,15931
